代码	名称	涨幅%	现价	涨跌	涨速%	开盘%	开盘换手Z	量比	涨跌数	涨停数	跌停数	3日涨幅%	总金额	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	开盘昨比%	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	
880513	海峡西岸	0.81	2437.55	19.68	0.01	-0.12	          0.02	  0.93	106|54	5	0	-0.92	7817412.50	69342.69	          2.44	          4.13	          2.98	          0.58	96207.66	-70253.57	  -0.02	0.83	1	-0.68	0.40	-1.76	-1.27	-2.66	
880961	小米概念	0.81	2611.72	20.99	0.01	-0.08	          0.02	  0.94	200|127	5	0	-1.39	21897764.00	147033.06	          3.24	          4.51	          2.42	          0.72	219190.06	345840.03	   0.05	0.69	1	-1.20	1.10	-2.03	0.94	7.74	
880713	ETC概念	0.81	2197.17	17.66	0.00	0.06	          0.02	  0.83	27|15	0	0	-1.92	1051447.38	5844.35	          2.33	          3.53	          2.63	          0.32	11446.27	-20917.94	  -0.05	0.54	1	-1.79	-0.97	-1.71	-1.01	2.45	
880674	英伟达概念	0.81	1912.61	15.31	0.02	-0.20	          0.02	  0.81	55|33	0	0	-2.39	11529626.00	74367.43	          2.62	          5.06	          2.51	          1.28	119888.28	174718.16	   0.04	0.68	1	-2.05	0.04	-3.80	1.97	11.98	
880920	免疫治疗	0.81	1170.70	9.36	0.01	-0.08	          0.01	  0.83	45|14	0	0	-1.01	1184034.75	5276.44	          1.64	          2.48	          2.45	          0.29	12037.63	-307.30	  -0.00	0.46	1	-0.75	1.20	1.30	-1.08	4.28	
880683	星闪概念	0.80	1421.78	11.29	0.01	-0.37	          0.02	  0.89	48|22	1	0	-1.94	2653374.25	19221.43	          2.33	          3.17	          2.57	          0.66	28222.05	-48791.60	  -0.05	0.80	1	-1.37	-0.14	-3.76	-2.95	2.37	
880762	信创	0.80	1683.27	13.30	0.03	-0.04	          0.03	  0.72	192|90	3	1	-2.71	13274327.00	114416.66	          3.12	          4.42	          3.21	          1.01	175822.44	51594.86	   0.01	0.78	1	-2.43	-1.50	-2.01	-0.69	4.77	
880645	AIGC概念	0.79	2106.25	16.61	0.03	-0.20	          0.03	  0.80	195|83	4	0	-2.13	12935388.00	114523.13	          3.36	          4.69	          2.67	          0.57	142900.42	-191502.34	  -0.04	0.74	1	-1.90	-1.54	-3.36	-4.15	6.88	
880946	区块链	0.79	1154.38	9.01	0.01	0.09	          0.03	  0.79	184|86	4	0	-1.94	14477176.00	155461.94	          2.42	          4.34	          2.77	          0.39	166019.08	-13884.62	  -0.00	0.95	1	-2.18	-0.88	-1.26	-0.47	5.18	
880966	消费电子概念	0.78	2466.93	19.21	0.01	-0.18	          0.02	  0.93	291|182	8	0	-1.51	29876184.00	205467.70	          3.42	          5.28	          2.66	          0.98	328840.00	-216825.03	  -0.02	0.69	1	-1.21	1.58	-1.79	3.03	11.18	
880650	血氧仪	0.78	1536.31	11.85	0.00	0.02	          0.01	  0.94	14|16	2	0	-0.74	2342347.25	9924.05	          2.64	          3.54	          1.42	          0.70	13871.10	292834.72	   0.44	0.58	1	-0.51	2.21	1.60	2.60	12.32	
880908	职业教育	0.77	1054.61	8.08	0.03	-0.12	          0.02	  0.85	89|33	0	0	-1.18	2802561.50	20649.88	          2.65	          3.99	          2.79	          0.37	32321.54	29377.08	   0.03	0.68	1	-1.09	-0.26	-1.20	-1.20	3.89	
880936	猪肉	0.77	2090.81	15.88	0.02	0.13	          0.01	  0.95	23|7	0	0	0.78	980318.94	5097.84	          2.15	          3.05	          1.75	          0.14	7143.73	-30549.04	  -0.04	0.55	1	-0.87	1.69	3.79	3.05	4.25	
880602	免税概念	0.76	1313.79	9.95	0.10	-0.00	          0.01	  0.97	40|5	0	0	-0.48	1348607.75	7857.90	          1.21	          2.77	          2.46	          0.11	13739.62	-3830.32	  -0.00	0.60	1	-0.75	0.34	-1.74	-6.71	-6.02	
880617	IP经济	0.75	1242.50	9.28	0.03	-0.21	          0.02	  0.92	140|43	2	0	-1.10	3741345.00	30182.63	          2.18	          3.55	          2.86	          0.25	44272.03	47211.01	   0.03	0.70	1	-0.89	-0.30	-2.58	-5.50	0.69	
